book_filename,book_number,book_name,paragraph_number,original_paragraph_index,word_count,output_filename
001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors.txt,001,1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors,11,84,218,001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors_11.txt
001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors.txt,001,1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors,12,85,114,001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors_12.txt
001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors.txt,001,1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors,13,93,149,001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors_13.txt
001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors.txt,001,1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors,14,97,109,001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors_14.txt
001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors.txt,001,1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors,15,103,151,001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors_15.txt
001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors.txt,001,1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors,16,120,186,001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors_16.txt
001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors.txt,001,1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors,17,131,102,001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors_17.txt
001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors.txt,001,1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors,18,179,123,001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors_18.txt
001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors.txt,001,1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors,19,184,121,001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors_19.txt
001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors.txt,001,1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors,20,191,215,001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors_20.txt
"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2..txt",003,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2.",1,7,215,"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2._01.txt"
"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2..txt",003,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2.",2,10,108,"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2._02.txt"
"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2..txt",003,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2.",3,12,164,"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2._03.txt"
"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2..txt",003,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2.",4,18,141,"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2._04.txt"
"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2..txt",003,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2.",5,22,124,"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2._05.txt"
"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2..txt",003,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2.",6,26,185,"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2._06.txt"
"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2..txt",003,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2.",7,29,211,"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2._07.txt"
"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2..txt",003,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2.",8,40,148,"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2._08.txt"
"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2..txt",003,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2.",9,41,143,"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2._09.txt"
"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2..txt",003,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2.",10,48,152,"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2._10.txt"
"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2..txt",003,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2.",11,49,118,"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2._11.txt"
"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2..txt",003,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2.",12,53,106,"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2._12.txt"
"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2..txt",003,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2.",13,58,210,"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2._13.txt"
"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2..txt",003,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2.",14,59,109,"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2._14.txt"
"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2..txt",003,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2.",15,60,134,"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2._15.txt"
"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2..txt",003,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2.",16,91,172,"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2._16.txt"
"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2..txt",003,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2.",17,92,110,"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2._17.txt"
"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2..txt",003,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2.",18,95,164,"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2._18.txt"
"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2..txt",003,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2.",19,106,187,"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2._19.txt"
"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2..txt",003,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2.",20,111,107,"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2._20.txt"
"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5..txt",006,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5.",1,10,117,"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5._01.txt"
"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5..txt",006,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5.",2,38,151,"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5._02.txt"
"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5..txt",006,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5.",3,39,169,"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5._03.txt"
"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5..txt",006,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5.",4,46,115,"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5._04.txt"
"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5..txt",006,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5.",5,56,128,"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5._05.txt"
"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5..txt",006,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5.",6,58,123,"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5._06.txt"
"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5..txt",006,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5.",7,59,128,"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5._07.txt"
"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5..txt",006,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5.",8,67,107,"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5._08.txt"
"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5..txt",006,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5.",9,75,132,"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5._09.txt"
"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5..txt",006,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5.",10,79,127,"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5._10.txt"
"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5..txt",006,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5.",11,119,109,"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5._11.txt"
"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5..txt",006,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5.",12,133,165,"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5._12.txt"
"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5..txt",006,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5.",13,159,208,"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5._13.txt"
"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5..txt",006,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5.",14,162,125,"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5._14.txt"
"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5..txt",006,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5.",15,167,168,"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5._15.txt"
"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5..txt",006,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5.",16,168,107,"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5._16.txt"
"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5..txt",006,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5.",17,170,133,"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5._17.txt"
"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5..txt",006,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5.",18,200,109,"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5._18.txt"
"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5..txt",006,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5.",19,201,107,"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5._19.txt"
"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5..txt",006,"A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5.",20,244,202,"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5._20.txt"
"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25.txt",018,"Adventures-of-Huckleberry-Finn,-Chapters-21-to-25",1,4,193,"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25_01.txt"
"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25.txt",018,"Adventures-of-Huckleberry-Finn,-Chapters-21-to-25",2,14,211,"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25_02.txt"
"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25.txt",018,"Adventures-of-Huckleberry-Finn,-Chapters-21-to-25",3,16,128,"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25_03.txt"
"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25.txt",018,"Adventures-of-Huckleberry-Finn,-Chapters-21-to-25",4,35,229,"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25_04.txt"
"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25.txt",018,"Adventures-of-Huckleberry-Finn,-Chapters-21-to-25",5,53,177,"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25_05.txt"
"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25.txt",018,"Adventures-of-Huckleberry-Finn,-Chapters-21-to-25",6,57,210,"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25_06.txt"
"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25.txt",018,"Adventures-of-Huckleberry-Finn,-Chapters-21-to-25",7,59,149,"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25_07.txt"
"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25.txt",018,"Adventures-of-Huckleberry-Finn,-Chapters-21-to-25",8,78,113,"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25_08.txt"
"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25.txt",018,"Adventures-of-Huckleberry-Finn,-Chapters-21-to-25",9,90,107,"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25_09.txt"
"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25.txt",018,"Adventures-of-Huckleberry-Finn,-Chapters-21-to-25",10,114,158,"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25_10.txt"
"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25.txt",018,"Adventures-of-Huckleberry-Finn,-Chapters-21-to-25",11,127,135,"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25_11.txt"
"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25.txt",018,"Adventures-of-Huckleberry-Finn,-Chapters-21-to-25",12,128,242,"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25_12.txt"
"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25.txt",018,"Adventures-of-Huckleberry-Finn,-Chapters-21-to-25",13,139,152,"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25_13.txt"
"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25.txt",018,"Adventures-of-Huckleberry-Finn,-Chapters-21-to-25",14,180,138,"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25_14.txt"
"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25.txt",018,"Adventures-of-Huckleberry-Finn,-Chapters-21-to-25",15,182,118,"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25_15.txt"
"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25.txt",018,"Adventures-of-Huckleberry-Finn,-Chapters-21-to-25",16,183,115,"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25_16.txt"
"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25.txt",018,"Adventures-of-Huckleberry-Finn,-Chapters-21-to-25",17,185,149,"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25_17.txt"
"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25.txt",018,"Adventures-of-Huckleberry-Finn,-Chapters-21-to-25",18,200,240,"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25_18.txt"
"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25.txt",018,"Adventures-of-Huckleberry-Finn,-Chapters-21-to-25",19,214,127,"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25_19.txt"
"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25.txt",018,"Adventures-of-Huckleberry-Finn,-Chapters-21-to-25",20,215,136,"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25_20.txt"
"037_Eve's-Diary,-Complete.txt",037,"Eve's-Diary,-Complete",1,4,157,"037_Eve's-Diary,-Complete_01.txt"
"037_Eve's-Diary,-Complete.txt",037,"Eve's-Diary,-Complete",2,7,173,"037_Eve's-Diary,-Complete_02.txt"
"037_Eve's-Diary,-Complete.txt",037,"Eve's-Diary,-Complete",3,8,150,"037_Eve's-Diary,-Complete_03.txt"
"037_Eve's-Diary,-Complete.txt",037,"Eve's-Diary,-Complete",4,9,105,"037_Eve's-Diary,-Complete_04.txt"
"037_Eve's-Diary,-Complete.txt",037,"Eve's-Diary,-Complete",5,12,127,"037_Eve's-Diary,-Complete_05.txt"
"037_Eve's-Diary,-Complete.txt",037,"Eve's-Diary,-Complete",6,17,136,"037_Eve's-Diary,-Complete_06.txt"
"037_Eve's-Diary,-Complete.txt",037,"Eve's-Diary,-Complete",7,22,169,"037_Eve's-Diary,-Complete_07.txt"
"037_Eve's-Diary,-Complete.txt",037,"Eve's-Diary,-Complete",8,24,152,"037_Eve's-Diary,-Complete_08.txt"
"037_Eve's-Diary,-Complete.txt",037,"Eve's-Diary,-Complete",9,32,125,"037_Eve's-Diary,-Complete_09.txt"
"037_Eve's-Diary,-Complete.txt",037,"Eve's-Diary,-Complete",10,34,136,"037_Eve's-Diary,-Complete_10.txt"
"037_Eve's-Diary,-Complete.txt",037,"Eve's-Diary,-Complete",11,38,211,"037_Eve's-Diary,-Complete_11.txt"
"037_Eve's-Diary,-Complete.txt",037,"Eve's-Diary,-Complete",12,53,144,"037_Eve's-Diary,-Complete_12.txt"
"037_Eve's-Diary,-Complete.txt",037,"Eve's-Diary,-Complete",13,55,246,"037_Eve's-Diary,-Complete_13.txt"
"037_Eve's-Diary,-Complete.txt",037,"Eve's-Diary,-Complete",14,57,126,"037_Eve's-Diary,-Complete_14.txt"
"037_Eve's-Diary,-Complete.txt",037,"Eve's-Diary,-Complete",15,58,109,"037_Eve's-Diary,-Complete_15.txt"
"037_Eve's-Diary,-Complete.txt",037,"Eve's-Diary,-Complete",16,59,147,"037_Eve's-Diary,-Complete_16.txt"
"037_Eve's-Diary,-Complete.txt",037,"Eve's-Diary,-Complete",17,63,114,"037_Eve's-Diary,-Complete_17.txt"
"037_Eve's-Diary,-Complete.txt",037,"Eve's-Diary,-Complete",18,65,125,"037_Eve's-Diary,-Complete_18.txt"
"037_Eve's-Diary,-Complete.txt",037,"Eve's-Diary,-Complete",19,66,115,"037_Eve's-Diary,-Complete_19.txt"
"037_Eve's-Diary,-Complete.txt",037,"Eve's-Diary,-Complete",20,69,117,"037_Eve's-Diary,-Complete_20.txt"
041_Extract-from-Captain-Stormfield's-Visit-to-Heaven.txt,041,Extract-from-Captain-Stormfield's-Visit-to-Heaven,1,23,129,041_Extract-from-Captain-Stormfield's-Visit-to-Heaven_01.txt
041_Extract-from-Captain-Stormfield's-Visit-to-Heaven.txt,041,Extract-from-Captain-Stormfield's-Visit-to-Heaven,2,35,105,041_Extract-from-Captain-Stormfield's-Visit-to-Heaven_02.txt
041_Extract-from-Captain-Stormfield's-Visit-to-Heaven.txt,041,Extract-from-Captain-Stormfield's-Visit-to-Heaven,3,39,130,041_Extract-from-Captain-Stormfield's-Visit-to-Heaven_03.txt
041_Extract-from-Captain-Stormfield's-Visit-to-Heaven.txt,041,Extract-from-Captain-Stormfield's-Visit-to-Heaven,4,40,105,041_Extract-from-Captain-Stormfield's-Visit-to-Heaven_04.txt
041_Extract-from-Captain-Stormfield's-Visit-to-Heaven.txt,041,Extract-from-Captain-Stormfield's-Visit-to-Heaven,5,92,149,041_Extract-from-Captain-Stormfield's-Visit-to-Heaven_05.txt
041_Extract-from-Captain-Stormfield's-Visit-to-Heaven.txt,041,Extract-from-Captain-Stormfield's-Visit-to-Heaven,6,111,171,041_Extract-from-Captain-Stormfield's-Visit-to-Heaven_06.txt
041_Extract-from-Captain-Stormfield's-Visit-to-Heaven.txt,041,Extract-from-Captain-Stormfield's-Visit-to-Heaven,7,147,153,041_Extract-from-Captain-Stormfield's-Visit-to-Heaven_07.txt
041_Extract-from-Captain-Stormfield's-Visit-to-Heaven.txt,041,Extract-from-Captain-Stormfield's-Visit-to-Heaven,8,159,122,041_Extract-from-Captain-Stormfield's-Visit-to-Heaven_08.txt
041_Extract-from-Captain-Stormfield's-Visit-to-Heaven.txt,041,Extract-from-Captain-Stormfield's-Visit-to-Heaven,9,179,133,041_Extract-from-Captain-Stormfield's-Visit-to-Heaven_09.txt
041_Extract-from-Captain-Stormfield's-Visit-to-Heaven.txt,041,Extract-from-Captain-Stormfield's-Visit-to-Heaven,10,183,103,041_Extract-from-Captain-Stormfield's-Visit-to-Heaven_10.txt
041_Extract-from-Captain-Stormfield's-Visit-to-Heaven.txt,041,Extract-from-Captain-Stormfield's-Visit-to-Heaven,11,195,158,041_Extract-from-Captain-Stormfield's-Visit-to-Heaven_11.txt
041_Extract-from-Captain-Stormfield's-Visit-to-Heaven.txt,041,Extract-from-Captain-Stormfield's-Visit-to-Heaven,12,200,115,041_Extract-from-Captain-Stormfield's-Visit-to-Heaven_12.txt
041_Extract-from-Captain-Stormfield's-Visit-to-Heaven.txt,041,Extract-from-Captain-Stormfield's-Visit-to-Heaven,13,226,128,041_Extract-from-Captain-Stormfield's-Visit-to-Heaven_13.txt
041_Extract-from-Captain-Stormfield's-Visit-to-Heaven.txt,041,Extract-from-Captain-Stormfield's-Visit-to-Heaven,14,266,125,041_Extract-from-Captain-Stormfield's-Visit-to-Heaven_14.txt
041_Extract-from-Captain-Stormfield's-Visit-to-Heaven.txt,041,Extract-from-Captain-Stormfield's-Visit-to-Heaven,15,280,164,041_Extract-from-Captain-Stormfield's-Visit-to-Heaven_15.txt
041_Extract-from-Captain-Stormfield's-Visit-to-Heaven.txt,041,Extract-from-Captain-Stormfield's-Visit-to-Heaven,16,306,243,041_Extract-from-Captain-Stormfield's-Visit-to-Heaven_16.txt
041_Extract-from-Captain-Stormfield's-Visit-to-Heaven.txt,041,Extract-from-Captain-Stormfield's-Visit-to-Heaven,17,310,121,041_Extract-from-Captain-Stormfield's-Visit-to-Heaven_17.txt
041_Extract-from-Captain-Stormfield's-Visit-to-Heaven.txt,041,Extract-from-Captain-Stormfield's-Visit-to-Heaven,18,314,242,041_Extract-from-Captain-Stormfield's-Visit-to-Heaven_18.txt
041_Extract-from-Captain-Stormfield's-Visit-to-Heaven.txt,041,Extract-from-Captain-Stormfield's-Visit-to-Heaven,19,332,138,041_Extract-from-Captain-Stormfield's-Visit-to-Heaven_19.txt
041_Extract-from-Captain-Stormfield's-Visit-to-Heaven.txt,041,Extract-from-Captain-Stormfield's-Visit-to-Heaven,20,336,154,041_Extract-from-Captain-Stormfield's-Visit-to-Heaven_20.txt
047_Following-the-Equator:-A-Journey-Around-the-World.-Part-4.txt,047,Following-the-Equator:-A-Journey-Around-the-World.-Part-4,1,4,122,047_Following-the-Equator:-A-Journey-Around-the-World.-Part-4_01.txt
047_Following-the-Equator:-A-Journey-Around-the-World.-Part-4.txt,047,Following-the-Equator:-A-Journey-Around-the-World.-Part-4,2,9,160,047_Following-the-Equator:-A-Journey-Around-the-World.-Part-4_02.txt
047_Following-the-Equator:-A-Journey-Around-the-World.-Part-4.txt,047,Following-the-Equator:-A-Journey-Around-the-World.-Part-4,3,10,234,047_Following-the-Equator:-A-Journey-Around-the-World.-Part-4_03.txt
